Ссылка;Текст;Тип;Автор;Ссылка на автора;Дата;Лайков;Комментариев;Репостов;Переходов;Просмотров вики страницы;Просмотров;Лайков / Просмотров;Комментариев / Просмотров;Репостов / Просмотров;Переходов / Просмотров;Просмотров вики страницы / Просмотров поста
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2610;7.701%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2610;7.701%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2610;7.701%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2610;7.701%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
